prefix,resource,entry-number,organisation,reference,entity,start-date,end-date,entry-date,endpoint
brownfield-site,,,local-authority-eng:CON,BR164,1800101,,,,
brownfield-site,,,local-authority-eng:CON,BR165,1800102,,,,
brownfield-site,,,local-authority-eng:CON,BR166,1800103,,,,
brownfield-site,,,local-authority-eng:CON,BR167,1800104,,,,
brownfield-site,,,local-authority-eng:CON,BR168,1800105,,,,
brownfield-site,,,local-authority-eng:CON,BR169,1800106,,,,
brownfield-site,,,local-authority-eng:CON,BR170,1800107,,,,
brownfield-site,,,local-authority-eng:CON,BR171,1800108,,,,
brownfield-site,,,local-authority-eng:CON,BR172,1800109,,,,
brownfield-site,,,local-authority-eng:CON,BR173,1800110,,,,
brownfield-site,,,local-authority-eng:CON,BR174,1800111,,,,
brownfield-site,,,local-authority-eng:CON,BR175,1800112,,,,
brownfield-site,,,local-authority-eng:CON,BR176,1800113,,,,
brownfield-site,,,local-authority-eng:CON,BR177,1800114,,,,
brownfield-site,,,local-authority-eng:CON,BR178,1800115,,,,
brownfield-site,,,local-authority-eng:CON,BR180,1800116,,,,
brownfield-site,,,local-authority-eng:CON,BR181,1800117,,,,
brownfield-site,,,local-authority-eng:CON,BR182,1800118,,,,
brownfield-site,,,local-authority-eng:CON,BR183,1800119,,,,
brownfield-site,,,local-authority-eng:CON,BR184,1800120,,,,
brownfield-site,,,local-authority-eng:CON,BR185,1800121,,,,
brownfield-site,,,local-authority-eng:CON,BR186,1800122,,,,
brownfield-site,,,local-authority-eng:CON,BR187,1800123,,,,
brownfield-site,,,local-authority-eng:CON,BR188,1800124,,,,
brownfield-site,,,local-authority-eng:CON,BR189,1800125,,,,
brownfield-site,,,local-authority-eng:CON,BR190,1800126,,,,
brownfield-site,,,local-authority-eng:CON,BR191,1800127,,,,
brownfield-site,,,local-authority-eng:CON,BR192,1800128,,,,
brownfield-site,,,local-authority-eng:CON,BR193,1800129,,,,
brownfield-site,,,local-authority-eng:CON,BR194,1800130,,,,
brownfield-site,,,local-authority-eng:CON,BR195,1800131,,,,
brownfield-site,,,local-authority-eng:CON,BR196,1800132,,,,
brownfield-site,,,local-authority-eng:CON,BR197,1800133,,,,
brownfield-site,,,local-authority-eng:CON,BR198,1800134,,,,
brownfield-site,,,local-authority-eng:CON,BR199,1800135,,,,
brownfield-site,,,local-authority-eng:CON,BR200,1800136,,,,
brownfield-site,,,local-authority-eng:CON,BR201,1800137,,,,
brownfield-site,,,local-authority-eng:CON,BR202,1800138,,,,
brownfield-site,,,local-authority-eng:CON,BR203,1800139,,,,
brownfield-site,,,local-authority-eng:CON,BR204,1800140,,,,
brownfield-site,,,local-authority-eng:CON,BR205,1800141,,,,
brownfield-site,,,local-authority-eng:CON,BR206,1800142,,,,
brownfield-site,,,local-authority-eng:CON,BR207,1800143,,,,
brownfield-site,,,local-authority-eng:CON,BR208,1800144,,,,
brownfield-site,,,local-authority-eng:CON,BR209,1800145,,,,
brownfield-site,,,local-authority-eng:CON,BR210,1800146,,,,
brownfield-site,,,local-authority-eng:CON,BR211,1800147,,,,
brownfield-site,,,local-authority-eng:CON,BR212,1800148,,,,
brownfield-site,,,local-authority-eng:CON,BR213,1800149,,,,
brownfield-site,,,local-authority-eng:CON,BR214,1800150,,,,
brownfield-site,,,local-authority-eng:CON,BR215,1800151,,,,
brownfield-site,,,local-authority-eng:CON,BR216,1800152,,,,
brownfield-site,,,local-authority-eng:CON,BR217,1800153,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-5067,1800154,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1021,1800155,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4782,1800156,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0135,1800157,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2086,1800158,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2533,1800159,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1471,1800160,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4215,1800161,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2009/2074,1800162,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2725,1800163,,,,
brownfield-site,,,local-authority-eng:MRT,14/P1172,1800164,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4014,1800165,,,,
brownfield-site,,,local-authority-eng:LEW,FH009,1800166,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0318,1800167,,,,
brownfield-site,,,local-authority-eng:BDG,LBBD29,1800168,,,,
brownfield-site,,,local-authority-eng:BEN,BR00019,1800169,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-57,1800170,,,,
brownfield-site,,,local-authority-eng:MRT,16/P3104,1800171,,,,
brownfield-site,,,local-authority-eng:SWK,PNAAP21,1800172,,,,
brownfield-site,,,local-authority-eng:BDG,LBBD26,1800173,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/1396,1800174,,,,
brownfield-site,,,local-authority-eng:BNE,14/07706/PNO,1800175,,,,
brownfield-site,,,local-authority-eng:LEW,SD004,1800176,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2081,1800177,,,,
brownfield-site,,,local-authority-eng:BEN,BR00022,1800178,,,,
brownfield-site,,,local-authority-eng:SWK,CWAAP 10,1800179,,,,
brownfield-site,,,local-authority-eng:LEW,LC005,1800180,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/3139,1800181,,,,
brownfield-site,,,local-authority-eng:SWK,NSP62,1800182,,,,
brownfield-site,,,local-authority-eng:HRW,P/0607/15,1800183,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-24,1800184,,,,
brownfield-site,,,local-authority-eng:WFT,160955,1800185,,,,
brownfield-site,,,local-authority-eng:LEW,TH003,1800186,,,,
brownfield-site,,,local-authority-eng:BEN,BR00026,1800187,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3554,1800188,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/1359,1800189,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-5150,1800190,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3224,1800191,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/2342,1800192,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3007,1800193,,,,
brownfield-site,,,local-authority-eng:SWK,PNAAP23,1800194,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2013/2396,1800195,,,,
brownfield-site,,,local-authority-eng:LEW,LD001,1800196,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1269,1800197,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1077,1800198,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1602,1800199,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3766,1800200,,,,
brownfield-site,,,local-authority-eng:WFT,LHCSS17310027,1800201,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2428,1800202,,,,
brownfield-site,,,local-authority-eng:LEW,EV015,1800203,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4254,1800204,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-3634,1800205,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4406,1800206,,,,
brownfield-site,,,local-authority-eng:HRY,17140199,1800207,,,,
brownfield-site,,,local-authority-eng:BEN,BR00084,1800208,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-2094,1800209,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/4208,1800210,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/0444,1800211,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2773,1800212,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0276,1800213,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-3856,1800214,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2137,1800215,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/3434,1800216,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/3756,1800217,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0124,1800218,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0586,1800219,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/1975,1800220,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0514,1800221,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1878,1800222,,,,
brownfield-site,,,local-authority-eng:LND,15/00329/FULL,1800223,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2012/1572,1800224,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4418,1800225,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4623,1800226,,,,
brownfield-site,,,local-authority-eng:WSM,16/12315/P3JPA,1800227,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1486,1800228,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-4171,1800229,,,,
brownfield-site,,,local-authority-eng:WSM,16/11376/FULL,1800230,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0675,1800231,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1883,1800232,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2009/1858,1800233,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4063,1800234,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1900,1800235,,,,
brownfield-site,,,local-authority-eng:WSM,HS002,1800236,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/3169,1800237,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-1125,1800238,,,,
brownfield-site,,,local-authority-eng:WSM,14/01450/FULL,1800239,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR009,1800240,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR023,1800241,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR012,1800242,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3638,1800243,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2160,1800244,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/2342,1800245,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1527,1800246,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2952,1800247,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2807,1800248,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1340,1800249,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR031,1800250,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1040,1800251,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/1906,1800252,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2382,1800253,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0580,1800254,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4191,1800255,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2063,1800256,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3406,1800257,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2009/1559,1800258,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2506,1800259,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1622,1800260,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0138,1800261,,,,
brownfield-site,,,local-authority-eng:ISL,P2014/0954/FUL,1800262,,,,
brownfield-site,,,local-authority-eng:RIC,RBR/17/0017,1800263,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0595,1800264,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/1071,1800265,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2454,1800266,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-5045,1800267,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/2972,1800268,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0713,1800269,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2006/1818,1800270,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2011/0141,1800271,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-2620,1800272,,,,
brownfield-site,,,local-authority-eng:RIC,RBR/17/0015,1800273,,,,
brownfield-site,,,local-authority-eng:WSM,17/06677/FULL,1800274,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-2473,1800275,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3069,1800276,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3971,1800277,,,,
brownfield-site,,,local-authority-eng:BDG,LBBD14,1800278,,,,
brownfield-site,,,local-authority-eng:WSM,15/06445/FULL,1800279,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2124,1800280,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2472,1800281,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3890,1800282,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0570,1800283,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR057,1800284,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2015,1800285,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/0267,1800286,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2013/2566,1800287,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC025,1800288,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/0373,1800289,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-2475,1800290,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1786,1800291,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1327,1800292,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4964,1800293,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC022,1800294,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC028,1800295,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC032,1800296,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2105,1800297,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1691,1800298,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-1028,1800299,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2389,1800300,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-2217,1800301,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3318,1800302,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2015/3578,1800303,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1047,1800304,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4168,1800305,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR029,1800306,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC015,1800307,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/1253,1800308,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR061,1800309,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3997,1800310,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/2557,1800311,,,,
brownfield-site,,,local-authority-eng:RIC,RBR/17/0009,1800312,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3025,1800313,,,,
brownfield-site,,,local-authority-eng:BEN,BR00038,1800314,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1663,1800315,,,,
brownfield-site,,,local-authority-eng:KTT,RBK0057,1800316,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/3332,1800317,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4474,1800318,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC035,1800319,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR089,1800320,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3581,1800321,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2013/1685,1800322,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4982,1800323,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1918,1800324,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3264,1800325,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC019,1800326,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-49,1800327,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR086,1800328,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4672,1800329,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC033,1800330,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0332,1800331,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-3903,1800332,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4441,1800333,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2663,1800334,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4896,1800335,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC039,1800336,,,,
brownfield-site,,,local-authority-eng:WSM,16/11562/FULL,1800337,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/3526,1800338,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0198,1800339,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1226,1800340,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0408,1800341,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0972,1800342,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0178,1800343,,,,
brownfield-site,,,local-authority-eng:SWK,17-AP-0065,1800344,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0798,1800345,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1928,1800346,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4077,1800347,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0020,1800348,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0012,1800349,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4839,1800350,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4386,1800351,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-1404,1800352,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:010008992963,1800353,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-2258,1800354,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/0475,1800355,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC010,1800356,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-63,1800357,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-3017,1800358,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC030,1800359,,,,
brownfield-site,,,local-authority-eng:WSM,17/06973/FULL,1800360,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR076,1800361,,,,
brownfield-site,,,local-authority-eng:RDB,BRLBR0022,1800362,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0008,1800363,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-0548,1800364,,,,
brownfield-site,,,local-authority-eng:ISL,P2015/1197/FUL,1800365,,,,
brownfield-site,,,local-authority-eng:GRE,RBG-74,1800366,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2008/0659,1800367,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR047,1800368,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2507,1800369,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4790,1800370,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-4981,1800371,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4765,1800372,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-4086,1800373,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2014/1977,1800374,,,,
brownfield-site,,,local-authority-eng:LEW,NX014,1800375,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-5125,1800376,,,,
brownfield-site,,,local-authority-eng:CMD,LBCBLR078,1800377,,,,
brownfield-site,,,local-authority-eng:WND,WBR/17/0002,1800378,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-2444,1800379,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1097,1800380,,,,
brownfield-site,,,local-authority-eng:ISL,P102226,1800381,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-1885,1800382,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC034,1800383,,,,
brownfield-site,,,local-authority-eng:SWK,16-AP-0203,1800384,,,,
brownfield-site,,,local-authority-eng:WSM,15/01827/FULL,1800385,,,,
brownfield-site,,,local-authority-eng:WND,WBR/18/0013,1800386,,,,
brownfield-site,,,local-authority-eng:BEN,BR00036,1800387,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-3566,1800388,,,,
brownfield-site,,,local-authority-eng:SWK,14-AP-2369,1800389,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-5094,1800390,,,,
brownfield-site,,,local-authority-eng:SWK,15-AP-5142,1800391,,,,
brownfield-site,,,local-authority-eng:SWK,12-AP-3257,1800392,,,,
brownfield-site,,,local-authority-eng:KEC,RBKC029,1800393,,,,
brownfield-site,,,local-authority-eng:HRY,HGY/2016/2653,1800394,,,,
brownfield-site,,,local-authority-eng:NWM,UPRN:10012839901,1800395,,,,
brownfield-site,,,local-authority-eng:ISL,P2016/1493/FUL,1800396,,,,
