pipeline,dataset,current-entity-minimum,current-entity-maximum,current-organisation,previous-entity-minimum,previous-entity-maximum,previous-organisation
conservation-area,conservation-area,44000653,44000653,local-authority:CON,44000652,44000653,local-authority:CON
conservation-area,conservation-area,44000685,44000685,local-authority:CON,44000685,44000688,government-organisation:D1342
conservation-area,conservation-area,44000685,44000686,local-authority:CON,44000685,44000685,local-authority:CON
conservation-area,conservation-area,44000686,44000687,local-authority:CON,44000685,44000686,local-authority:CON
conservation-area,conservation-area,44000687,44000688,local-authority:CON,44000686,44000687,local-authority:CON
conservation-area,conservation-area,44000688,44000688,local-authority:CON,44000687,44000688,local-authority:CON
conservation-area,conservation-area,44000691,44000691,local-authority:CON,44000691,44000693,government-organisation:D1342
conservation-area,conservation-area,44000691,44000692,local-authority:CON,44000691,44000691,local-authority:CON
conservation-area,conservation-area,44000692,44000693,local-authority:CON,44000691,44000692,local-authority:CON
conservation-area,conservation-area,44000693,44000693,local-authority:CON,44000692,44000693,local-authority:CON
conservation-area,conservation-area,44000699,44000699,local-authority:CON,44000699,44000700,government-organisation:D1342
conservation-area,conservation-area,44000699,44000700,local-authority:CON,44000699,44000699,local-authority:CON
conservation-area,conservation-area,44000700,44000700,local-authority:CON,44000699,44000700,local-authority:CON
conservation-area,conservation-area,44000862,44000862,local-authority:LBH,44000862,44000862,local-authority:LBH
conservation-area,conservation-area,44000862,44000863,local-authority:LBH,44000862,44000862,local-authority:LBH
conservation-area,conservation-area,44000863,44000864,local-authority:LBH,44000862,44000863,local-authority:LBH
conservation-area,conservation-area,44000864,44000865,local-authority:LBH,44000863,44000864,local-authority:LBH
conservation-area,conservation-area,44000865,44000865,local-authority:LBH,44000864,44000865,local-authority:LBH
conservation-area,conservation-area,44000865,44000866,local-authority:LBH,44000865,44000865,local-authority:LBH
conservation-area,conservation-area,44000866,44000867,local-authority:LBH,44000865,44000866,local-authority:LBH
conservation-area,conservation-area,44000867,44000867,local-authority:LBH,44000866,44000867,local-authority:LBH
conservation-area,conservation-area,44000867,44000868,local-authority:LBH,44000867,44000867,local-authority:LBH
conservation-area,conservation-area,44000868,44000868,local-authority:LBH,44000867,44000868,local-authority:LBH
conservation-area,conservation-area,44000868,44000869,local-authority:LBH,44000868,44000868,local-authority:LBH
conservation-area,conservation-area,44000869,44000870,local-authority:LBH,44000868,44000869,local-authority:LBH
conservation-area,conservation-area,44000870,44000871,local-authority:LBH,44000869,44000870,local-authority:LBH
conservation-area,conservation-area,44000871,44000871,local-authority:LBH,44000870,44000871,local-authority:LBH
conservation-area,conservation-area,44000871,44000872,local-authority:LBH,44000871,44000871,local-authority:LBH
conservation-area,conservation-area,44000872,44000872,local-authority:LBH,44000871,44000872,local-authority:LBH
conservation-area,conservation-area,44000872,44000873,local-authority:LBH,44000872,44000872,local-authority:LBH
conservation-area,conservation-area,44000873,44000873,local-authority:LBH,44000872,44000873,local-authority:LBH
conservation-area,conservation-area,44000873,44000874,local-authority:LBH,44000873,44000873,local-authority:LBH
conservation-area,conservation-area,44000874,44000875,local-authority:LBH,44000873,44000874,local-authority:LBH
conservation-area,conservation-area,44000875,44000875,local-authority:LBH,44000874,44000875,local-authority:LBH
conservation-area,conservation-area,44000875,44000876,local-authority:LBH,44000875,44000875,local-authority:LBH
conservation-area,conservation-area,44000876,44000876,local-authority:LBH,44000875,44000876,local-authority:LBH
conservation-area,conservation-area,44000876,44000877,local-authority:LBH,44000876,44000876,local-authority:LBH
conservation-area,conservation-area,44000877,44000878,local-authority:LBH,44000876,44000877,local-authority:LBH
conservation-area,conservation-area,44000878,44000878,local-authority:LBH,44000877,44000878,local-authority:LBH
conservation-area,conservation-area,44000878,44000879,local-authority:LBH,44000878,44000878,local-authority:LBH
conservation-area,conservation-area,44000879,44000880,local-authority:LBH,44000878,44000879,local-authority:LBH
conservation-area,conservation-area,44000880,44000880,local-authority:LBH,44000879,44000880,local-authority:LBH
conservation-area,conservation-area,44000880,44000881,local-authority:LBH,44000880,44000880,local-authority:LBH
conservation-area,conservation-area,44000881,44000881,local-authority:LBH,44000880,44000881,local-authority:LBH
conservation-area,conservation-area,44000881,44000882,local-authority:LBH,44000881,44000881,local-authority:LBH
conservation-area,conservation-area,44000882,44000882,local-authority:LBH,44000881,44000882,local-authority:LBH
conservation-area,conservation-area,44000882,44000883,local-authority:LBH,44000882,44000882,local-authority:LBH
conservation-area,conservation-area,44000883,44000883,local-authority:LBH,44000882,44000883,local-authority:LBH
conservation-area,conservation-area,44000883,44000884,local-authority:LBH,44000883,44000883,local-authority:LBH
conservation-area,conservation-area,44000884,44000885,local-authority:LBH,44000883,44000884,local-authority:LBH
conservation-area,conservation-area,44000885,44000885,local-authority:LBH,44000884,44000885,local-authority:LBH
conservation-area,conservation-area,44000885,44000886,local-authority:LBH,44000885,44000885,local-authority:LBH
conservation-area,conservation-area,44000886,44000886,local-authority:LBH,44000885,44000886,local-authority:LBH
conservation-area,conservation-area,44000886,44000887,local-authority:LBH,44000886,44000886,local-authority:LBH
conservation-area,conservation-area,44000887,44000887,local-authority:LBH,44000886,44000887,local-authority:LBH
conservation-area,conservation-area,44000887,44000888,local-authority:LBH,44000887,44000887,local-authority:LBH
conservation-area,conservation-area,44000888,44000888,local-authority:LBH,44000887,44000888,local-authority:LBH
conservation-area,conservation-area,44000888,44000889,local-authority:LBH,44000888,44000888,local-authority:LBH
conservation-area,conservation-area,44000889,44000889,local-authority:LBH,44000888,44000889,local-authority:LBH
conservation-area,conservation-area,44000889,44000890,local-authority:LBH,44000889,44000889,local-authority:LBH
conservation-area,conservation-area,44000890,44000890,local-authority:LBH,44000889,44000890,local-authority:LBH
conservation-area,conservation-area,44000890,44000891,local-authority:LBH,44000890,44000890,local-authority:LBH
conservation-area,conservation-area,44000891,44000892,local-authority:LBH,44000890,44000891,local-authority:LBH
conservation-area,conservation-area,44000892,44000893,local-authority:LBH,44000891,44000892,local-authority:LBH
conservation-area,conservation-area,44000893,44000893,local-authority:LBH,44000892,44000893,local-authority:LBH
conservation-area,conservation-area,44000893,44000894,local-authority:LBH,44000893,44000893,local-authority:LBH
conservation-area,conservation-area,44000894,44000894,local-authority:LBH,44000893,44000894,local-authority:LBH
conservation-area,conservation-area,44000894,44000895,local-authority:LBH,44000894,44000894,local-authority:LBH
conservation-area,conservation-area,44000895,44000895,local-authority:LBH,44000894,44000895,local-authority:LBH
conservation-area,conservation-area,44000895,44000896,local-authority:LBH,44000895,44000895,local-authority:LBH
conservation-area,conservation-area,44000896,44000896,local-authority:LBH,44000895,44000896,local-authority:LBH
conservation-area,conservation-area,44000896,44000897,local-authority:LBH,44000896,44000896,local-authority:LBH
conservation-area,conservation-area,44000897,44000898,local-authority:LBH,44000896,44000897,local-authority:LBH
conservation-area,conservation-area,44000898,44000898,local-authority:LBH,44000897,44000898,local-authority:LBH
conservation-area,conservation-area,44000898,44000899,local-authority:LBH,44000898,44000898,local-authority:LBH
conservation-area,conservation-area,44000899,44000900,local-authority:LBH,44000898,44000899,local-authority:LBH
conservation-area,conservation-area,44000900,44000900,local-authority:LBH,44000899,44000900,local-authority:LBH
conservation-area,conservation-area,44000900,44000901,local-authority:LBH,44000900,44000900,local-authority:LBH
conservation-area,conservation-area,44000901,44000901,local-authority:LBH,44000900,44000901,local-authority:LBH
conservation-area,conservation-area,44000901,44000902,local-authority:LBH,44000901,44000901,local-authority:LBH
conservation-area,conservation-area,44000902,44000902,local-authority:LBH,44000901,44000902,local-authority:LBH
conservation-area,conservation-area,44000902,44000902,local-authority:LBH,44000902,44000902,local-authority:LBH
conservation-area,conservation-area,44000997,44000998,government-organisation:D1342,44000997,44000997,government-organisation:D1342
conservation-area,conservation-area,44000997,44001006,local-authority:CAR,44000997,44000998,government-organisation:D1342
conservation-area,conservation-area,44000998,44000999,government-organisation:D1342,44000997,44001006,local-authority:CAR
conservation-area,conservation-area,44000999,44001000,government-organisation:D1342,44000998,44000999,government-organisation:D1342
conservation-area,conservation-area,44001000,44001001,government-organisation:D1342,44000999,44001000,government-organisation:D1342
conservation-area,conservation-area,44001001,44001002,government-organisation:D1342,44001000,44001001,government-organisation:D1342
conservation-area,conservation-area,44001002,44001003,government-organisation:D1342,44001001,44001002,government-organisation:D1342
conservation-area,conservation-area,44001003,44001004,government-organisation:D1342,44001002,44001003,government-organisation:D1342
conservation-area,conservation-area,44001004,44001005,government-organisation:D1342,44001003,44001004,government-organisation:D1342
conservation-area,conservation-area,44001005,44001006,government-organisation:D1342,44001004,44001005,government-organisation:D1342
conservation-area,conservation-area,44001006,44001009,government-organisation:D1342,44001005,44001006,government-organisation:D1342
conservation-area,conservation-area,44001014,44001014,local-authority:CRY,44001013,44001332,government-organisation:PB1164
conservation-area,conservation-area,44001043,44001076,local-authority:WND,44001016,44001076,government-organisation:D1342
conservation-area,conservation-area,44001077,44001077,local-authority:LBH,44001077,44001077,local-authority:LBH
conservation-area,conservation-area,44001077,44001077,local-authority:LBH,44001077,44001077,local-authority:LBH
conservation-area,conservation-area,44001151,44001161,national-park-authority:Q72617988,44001140,44001280,government-organisation:D1342
conservation-area,conservation-area,44001357,44001403,government-organisation:PB1164,44001357,44001381,government-organisation:D1342
conservation-area,conservation-area,44001397,44001403,local-authority:BRO,44001357,44001403,government-organisation:PB1164
conservation-area,conservation-area,44001413,44001805,government-organisation:PB1164,44001413,44001413,government-organisation:D1342
conservation-area,conservation-area,44001414,44001417,local-authority:NLN,44001413,44001805,government-organisation:PB1164
conservation-area,conservation-area,44001418,44001425,local-authority:BRT,44001418,44001507,government-organisation:D1342
conservation-area,conservation-area,44001617,44001617,local-authority:SOS,44001596,44001617,government-organisation:D1342
conservation-area,conservation-area,44001621,44001622,local-authority:SOS,44001620,44001635,government-organisation:D1342
conservation-area,conservation-area,44001676,44001676,local-authority:GED,44001676,44001678,government-organisation:D1342
conservation-area,conservation-area,44001676,44001676,local-authority:GED,44001676,44001676,local-authority:GED
conservation-area,conservation-area,44001676,44001678,local-authority:GED,44001676,44001676,local-authority:GED
conservation-area,conservation-area,44001734,44001734,local-authority:MAL,44001708,44001734,government-organisation:D1342
conservation-area,conservation-area,44001788,44001788,local-authority:EPS,44001788,44001788,local-authority:EPS
conservation-area,conservation-area,44001790,44001790,local-authority:EPS,44001790,44001790,local-authority:EPS
conservation-area,conservation-area,44001799,44001799,local-authority:BRC,44001798,44001801,government-organisation:D1342
conservation-area,conservation-area,44001807,44001850,government-organisation:PB1164,44001807,44001808,government-organisation:D1342
conservation-area,conservation-area,44001810,44001810,government-organisation:D1342,44001807,44001850,government-organisation:PB1164
conservation-area,conservation-area,44001826,44001826,local-authority:EPS,44001826,44001826,local-authority:EPS
conservation-area,conservation-area,44001831,44001831,local-authority:WOX,44001830,44001832,government-organisation:D1342
conservation-area,conservation-area,44001838,44001838,local-authority:BRC,44001838,44001838,government-organisation:D1342
conservation-area,conservation-area,44001847,44001847,local-authority:MOL,44001846,44001847,government-organisation:D1342
conservation-area,conservation-area,44001853,44001853,local-authority:CAT,44001852,44001861,government-organisation:PB1164
conservation-area,conservation-area,44001857,44001858,local-authority:EPS,44001857,44001857,local-authority:EPS
conservation-area,conservation-area,44001865,44001865,government-organisation:D1342,44001864,44001869,government-organisation:PB1164
conservation-area,conservation-area,44001871,44001909,government-organisation:PB1164,44001871,44001871,government-organisation:D1342
conservation-area,conservation-area,44001872,44001872,local-authority:WAE,44001871,44001909,government-organisation:PB1164
conservation-area,conservation-area,44001891,44001891,local-authority:WOX,44001891,44001891,government-organisation:D1342
conservation-area,conservation-area,44001903,44001903,local-authority:WOX,44001903,44001903,government-organisation:D1342
conservation-area,conservation-area,44001904,44001904,local-authority:EPS,44001904,44001904,local-authority:EPS
conservation-area,conservation-area,44001906,44001908,local-authority:WOX,44001905,44001908,government-organisation:D1342
conservation-area,conservation-area,44001911,44001911,local-authority:CAT,44001911,44001938,government-organisation:PB1164
conservation-area,conservation-area,44001913,44001913,local-authority:EPS,44001913,44001913,local-authority:EPS
conservation-area,conservation-area,44001916,44001916,local-authority:WOX,44001914,44001916,government-organisation:D1342
conservation-area,conservation-area,44001918,44001918,local-authority:MOL,44001918,44001919,government-organisation:D1342
conservation-area,conservation-area,44001924,44001924,local-authority:WOX,44001924,44001925,government-organisation:D1342
conservation-area,conservation-area,44001930,44001930,local-authority:WOX,44001929,44001932,government-organisation:D1342
conservation-area,conservation-area,44001937,44001937,local-authority:EPS,44001937,44001937,local-authority:EPS
conservation-area,conservation-area,44001940,44001947,government-organisation:PB1164,44001940,44001941,government-organisation:D1342
conservation-area,conservation-area,44001944,44001944,local-authority:CAT,44001940,44001947,government-organisation:PB1164
conservation-area,conservation-area,44001945,44001945,local-authority:WOX,44001945,44001945,government-organisation:D1342
conservation-area,conservation-area,44001949,44001951,government-organisation:PB1164,44001949,44001951,government-organisation:D1342
conservation-area,conservation-area,44001950,44001950,local-authority:WOX,44001949,44001951,government-organisation:PB1164
conservation-area,conservation-area,44001953,44001953,local-authority:CAT,44001953,44001957,government-organisation:PB1164
conservation-area,conservation-area,44001954,44001954,local-authority:WOX,44001954,44001954,government-organisation:D1342
conservation-area,conservation-area,44001964,44001968,government-organisation:PB1164,44001964,44001964,government-organisation:D1342
conservation-area,conservation-area,44001965,44001965,local-authority:EPS,44001964,44001968,government-organisation:PB1164
conservation-area,conservation-area,44001965,44001966,local-authority:EPS,44001965,44001965,local-authority:EPS
conservation-area,conservation-area,44001966,44001966,local-authority:EPS,44001965,44001966,local-authority:EPS
conservation-area,conservation-area,44001970,44001970,local-authority:CAT,44001970,44001978,government-organisation:PB1164
conservation-area,conservation-area,44001980,44001993,government-organisation:PB1164,44001980,44001982,government-organisation:D1342
conservation-area,conservation-area,44001983,44001983,local-authority:EPS,44001980,44001993,government-organisation:PB1164
conservation-area,conservation-area,44001983,44001983,local-authority:EPS,44001983,44001983,local-authority:EPS
conservation-area,conservation-area,44001984,44001984,local-authority:WOX,44001984,44001985,government-organisation:D1342
conservation-area,conservation-area,44001995,44002009,government-organisation:PB1164,44001995,44001996,government-organisation:D1342
conservation-area,conservation-area,44001995,44001995,local-authority:STH,44001995,44002009,government-organisation:PB1164
conservation-area,conservation-area,44001998,44001998,local-authority:BRC,44001998,44002000,government-organisation:D1342
conservation-area,conservation-area,44002002,44002002,local-authority:WOX,44002002,44002005,government-organisation:D1342
conservation-area,conservation-area,44002007,44002007,local-authority:WOX,44002007,44002008,government-organisation:D1342
conservation-area,conservation-area,44002009,44002009,local-authority:EPS,44002009,44002009,local-authority:EPS
conservation-area,conservation-area,44002011,44002023,government-organisation:PB1164,44002011,44002012,government-organisation:D1342
conservation-area,conservation-area,44002012,44002012,local-authority:WOX,44002011,44002023,government-organisation:PB1164
conservation-area,conservation-area,44002025,44002025,local-authority:CAT,44002025,44002027,government-organisation:PB1164
conservation-area,conservation-area,44002031,44002031,government-organisation:D1342,44002029,44002045,government-organisation:PB1164
conservation-area,conservation-area,44002032,44002032,local-authority:EPS,44002032,44002032,local-authority:EPS
conservation-area,conservation-area,44002037,44002037,local-authority:WOX,44002035,44002037,government-organisation:D1342
conservation-area,conservation-area,44002047,44002061,government-organisation:PB1164,44002047,44002051,government-organisation:D1342
conservation-area,conservation-area,44002048,44002049,local-authority:WOX,44002047,44002061,government-organisation:PB1164
conservation-area,conservation-area,44002063,44002063,local-authority:TAN,44002063,44002075,government-organisation:PB1164
conservation-area,conservation-area,44002064,44002064,local-authority:WOX,44002064,44002064,government-organisation:D1342
conservation-area,conservation-area,44002068,44002068,local-authority:EPS,44002068,44002068,local-authority:EPS
conservation-area,conservation-area,44002069,44002069,local-authority:WOX,44002069,44002071,government-organisation:D1342
conservation-area,conservation-area,44002077,44002087,government-organisation:PB1164,44002077,44002078,government-organisation:D1342
conservation-area,conservation-area,44002080,44002081,government-organisation:D1342,44002077,44002087,government-organisation:PB1164
conservation-area,conservation-area,44002086,44002086,local-authority:EPS,44002086,44002086,local-authority:EPS
conservation-area,conservation-area,44002090,44002090,local-authority:EPS,44002090,44002095,government-organisation:PB1164
conservation-area,conservation-area,44002091,44002092,local-authority:WOX,44002091,44002093,government-organisation:D1342
conservation-area,conservation-area,44002097,44002104,government-organisation:PB1164,44002097,44002099,government-organisation:D1342
conservation-area,conservation-area,44002100,44002101,local-authority:CAT,44002097,44002104,government-organisation:PB1164
conservation-area,conservation-area,44002106,44002106,local-authority:CAT,44002106,44002111,government-organisation:PB1164
conservation-area,conservation-area,44002107,44002107,local-authority:EPS,44002107,44002107,local-authority:EPS
conservation-area,conservation-area,44002109,44002109,local-authority:WOX,44002109,44002109,government-organisation:D1342
conservation-area,conservation-area,44002114,44002186,government-organisation:PB1164,44002114,44002117,government-organisation:D1342
conservation-area,conservation-area,44002119,44002119,local-authority:TAN,44002114,44002186,government-organisation:PB1164
conservation-area,conservation-area,44002134,44002134,local-authority:WOX,44002134,44002134,government-organisation:D1342
conservation-area,conservation-area,44002137,44002137,local-authority:WOX,44002136,44002138,government-organisation:D1342
conservation-area,conservation-area,44002139,44002139,local-authority:EPS,44002139,44002139,local-authority:EPS
conservation-area,conservation-area,44002143,44002144,local-authority:WOX,44002142,44002144,government-organisation:D1342
conservation-area,conservation-area,44002159,44002159,local-authority:WOX,44002157,44002159,government-organisation:D1342
conservation-area,conservation-area,44002161,44002161,local-authority:WOX,44002161,44002161,government-organisation:D1342
conservation-area,conservation-area,44002177,44002177,local-authority:WOX,44002176,44002177,government-organisation:D1342
conservation-area,conservation-area,44002188,44002195,government-organisation:PB1164,44002188,44002190,government-organisation:D1342
conservation-area,conservation-area,44002188,44002188,local-authority:WOX,44002188,44002195,government-organisation:PB1164
conservation-area,conservation-area,44002195,44002195,local-authority:WOX,44002195,44002195,government-organisation:D1342
conservation-area,conservation-area,44002198,44002198,government-organisation:D1342,44002197,44002198,government-organisation:PB1164
conservation-area,conservation-area,44002198,44002198,local-authority:WOX,44002198,44002198,government-organisation:D1342
conservation-area,conservation-area,44002200,44002208,government-organisation:PB1164,44002200,44002200,government-organisation:D1342
conservation-area,conservation-area,44002200,44002200,local-authority:MOL,44002200,44002208,government-organisation:PB1164
conservation-area,conservation-area,44002203,44002203,local-authority:WOX,44002202,44002203,government-organisation:D1342
conservation-area,conservation-area,44002210,44002210,local-authority:TAN,44002210,44002227,government-organisation:PB1164
conservation-area,conservation-area,44002229,44002235,government-organisation:PB1164,44002229,44002231,government-organisation:D1342
conservation-area,conservation-area,44002232,44002232,local-authority:WAE,44002229,44002235,government-organisation:PB1164
conservation-area,conservation-area,44002237,44002237,local-authority:WAE,44002237,44002243,government-organisation:PB1164
conservation-area,conservation-area,44002245,44002248,government-organisation:PB1164,44002245,44002245,government-organisation:D1342
conservation-area,conservation-area,44002245,44002245,local-authority:MOL,44002245,44002248,government-organisation:PB1164
conservation-area,conservation-area,44002250,44002254,government-organisation:PB1164,44002250,44002253,government-organisation:D1342
conservation-area,conservation-area,44002251,44002251,local-authority:WOX,44002250,44002254,government-organisation:PB1164
conservation-area,conservation-area,44002256,44002266,government-organisation:PB1164,44002256,44002256,government-organisation:D1342
conservation-area,conservation-area,44002257,44002257,local-authority:CAT,44002256,44002266,government-organisation:PB1164
conservation-area,conservation-area,44002262,44002262,local-authority:WOX,44002261,44002262,government-organisation:D1342
conservation-area,conservation-area,44002264,44002264,local-authority:WOX,44002264,44002264,government-organisation:D1342
conservation-area,conservation-area,44002271,44002958,government-organisation:PB1164,44002271,44002271,government-organisation:D1342
conservation-area,conservation-area,44002272,44002272,local-authority:MOL,44002271,44002958,government-organisation:PB1164
conservation-area,conservation-area,44002277,44002277,local-authority:MOL,44002277,44002280,government-organisation:D1342
conservation-area,conservation-area,44002284,44002284,local-authority:WOX,44002282,44002286,government-organisation:D1342
conservation-area,conservation-area,44002293,44002293,local-authority:MOL,44002290,44002296,government-organisation:D1342
conservation-area,conservation-area,44002305,44002305,local-authority:WOX,44002305,44002306,government-organisation:D1342
conservation-area,conservation-area,44002323,44002340,local-authority:EAL,44002323,44002348,government-organisation:D1342
conservation-area,conservation-area,44002349,44002350,local-authority:SWK,44002349,44002349,local-authority:SWK
conservation-area,conservation-area,44002350,44002351,local-authority:SWK,44002349,44002350,local-authority:SWK
conservation-area,conservation-area,44002351,44002352,local-authority:SWK,44002350,44002351,local-authority:SWK
conservation-area,conservation-area,44002352,44002353,local-authority:SWK,44002351,44002352,local-authority:SWK
conservation-area,conservation-area,44002353,44002354,local-authority:SWK,44002352,44002353,local-authority:SWK
conservation-area,conservation-area,44002354,44002355,local-authority:SWK,44002353,44002354,local-authority:SWK
conservation-area,conservation-area,44002355,44002356,local-authority:SWK,44002354,44002355,local-authority:SWK
conservation-area,conservation-area,44002356,44002357,local-authority:SWK,44002355,44002356,local-authority:SWK
conservation-area,conservation-area,44002357,44002358,local-authority:SWK,44002356,44002357,local-authority:SWK
conservation-area,conservation-area,44002358,44002359,local-authority:SWK,44002357,44002358,local-authority:SWK
conservation-area,conservation-area,44002359,44002360,local-authority:SWK,44002358,44002359,local-authority:SWK
conservation-area,conservation-area,44002360,44002361,local-authority:SWK,44002359,44002360,local-authority:SWK
conservation-area,conservation-area,44002361,44002362,local-authority:SWK,44002360,44002361,local-authority:SWK
conservation-area,conservation-area,44002362,44002363,local-authority:SWK,44002361,44002362,local-authority:SWK
conservation-area,conservation-area,44002363,44002364,local-authority:SWK,44002362,44002363,local-authority:SWK
conservation-area,conservation-area,44002364,44002366,local-authority:SWK,44002363,44002364,local-authority:SWK
conservation-area,conservation-area,44002366,44002367,local-authority:SWK,44002364,44002366,local-authority:SWK
conservation-area,conservation-area,44002367,44002368,local-authority:SWK,44002366,44002367,local-authority:SWK
conservation-area,conservation-area,44002368,44002369,local-authority:SWK,44002367,44002368,local-authority:SWK
conservation-area,conservation-area,44002369,44002370,local-authority:SWK,44002368,44002369,local-authority:SWK
conservation-area,conservation-area,44002370,44002371,local-authority:SWK,44002369,44002370,local-authority:SWK
conservation-area,conservation-area,44002371,44002372,local-authority:SWK,44002370,44002371,local-authority:SWK
conservation-area,conservation-area,44002372,44002373,local-authority:SWK,44002371,44002372,local-authority:SWK
conservation-area,conservation-area,44002373,44002374,local-authority:SWK,44002372,44002373,local-authority:SWK
conservation-area,conservation-area,44002374,44002375,local-authority:SWK,44002373,44002374,local-authority:SWK
conservation-area,conservation-area,44002375,44002376,local-authority:SWK,44002374,44002375,local-authority:SWK
conservation-area,conservation-area,44002376,44002377,local-authority:SWK,44002375,44002376,local-authority:SWK
conservation-area,conservation-area,44002377,44002378,local-authority:SWK,44002376,44002377,local-authority:SWK
conservation-area,conservation-area,44002378,44002379,local-authority:SWK,44002377,44002378,local-authority:SWK
conservation-area,conservation-area,44002379,44002380,local-authority:SWK,44002378,44002379,local-authority:SWK
conservation-area,conservation-area,44002380,44002381,local-authority:SWK,44002379,44002380,local-authority:SWK
conservation-area,conservation-area,44002381,44002381,local-authority:SWK,44002380,44002381,local-authority:SWK
conservation-area,conservation-area,44002382,44002385,local-authority:CAB,44002382,44002385,government-organisation:D1342
conservation-area,conservation-area,44002411,44002411,local-authority:GLA,44002411,44002424,local-authority:BNE
conservation-area,conservation-area,44002424,44002424,local-authority:GLA,44002420,44002424,local-authority:GLA
conservation-area,conservation-area,44002425,44002425,local-authority:HIL,44002425,44002428,government-organisation:D1342
conservation-area,conservation-area,44002431,44002435,local-authority:HIL,44002431,44002435,government-organisation:D1342
conservation-area,conservation-area,44002438,44002444,local-authority:HIL,44002437,44002444,government-organisation:D1342
conservation-area,conservation-area,44002447,44002449,local-authority:HIL,44002446,44002450,government-organisation:D1342
conservation-area,conservation-area,44002452,44002493,local-authority:RIC,44002452,44002493,government-organisation:D1342
conservation-area,conservation-area,44002494,44002494,local-authority:LND,44002494,44002494,local-authority:LND
conservation-area,conservation-area,44002494,44002495,local-authority:LND,44002494,44002494,local-authority:LND
conservation-area,conservation-area,44002495,44002495,local-authority:LND,44002494,44002495,local-authority:LND
conservation-area,conservation-area,44002495,44002496,local-authority:LND,44002495,44002495,local-authority:LND
