column,dataset,end-date,endpoint,entry-date,field,resource,start-date
ORDERYEAR,tree-preservation-zone,,,,start-date,ae35aa8a7903f92fdb6035cae6183ef5bf7683e876733b5fbcf29f7704976a90,
TREETYPE,tree-preservation-zone,,,,notes,ae35aa8a7903f92fdb6035cae6183ef5bf7683e876733b5fbcf29f7704976a90,
location,tree-preservation-zone,,,,name,7315d937dcef7d3b9028d71e0ce6cd9b0277e36cb2b69783e1b215a955ce20db,
tpo,tree-preservation-zone,,,,tree-preservation-order,7315d937dcef7d3b9028d71e0ce6cd9b0277e36cb2b69783e1b215a955ce20db,
DATE_OF_OR,tree-preservation-zone,,,,start-date,e522866c34e87141363d2f8c2e94f0b20c34d1c02dd0e097fa2ad58616b7a003,
DETAILS_OF,tree-preservation-zone,,,,notes,e522866c34e87141363d2f8c2e94f0b20c34d1c02dd0e097fa2ad58616b7a003,
EXPIRY_DAT,tree-preservation-zone,,,,end-date,e522866c34e87141363d2f8c2e94f0b20c34d1c02dd0e097fa2ad58616b7a003,
INT_ID,tree-preservation-zone,,,,reference,e522866c34e87141363d2f8c2e94f0b20c34d1c02dd0e097fa2ad58616b7a003,
ORDER_NO,tree-preservation-zone,,,,tree-preservation-order,e522866c34e87141363d2f8c2e94f0b20c34d1c02dd0e097fa2ad58616b7a003,
OBJECTID,tree-preservation-zone,,,,reference,b2a456b6735fb44e4ec7b86f1dd662802a3b123d29accc057149c24ebdbdfe09,
species_1_name,tree-preservation-zone,,,,tree-species-list,b2a456b6735fb44e4ec7b86f1dd662802a3b123d29accc057149c24ebdbdfe09,
tpo_number,tree-preservation-zone,,,,tree-preservation-order,b2a456b6735fb44e4ec7b86f1dd662802a3b123d29accc057149c24ebdbdfe09,
uprn,tree-preservation-zone,,,,address,b2a456b6735fb44e4ec7b86f1dd662802a3b123d29accc057149c24ebdbdfe09,
address,tree-preservation-zone,,,,address,c19e8dee488573aa4ab475e43148e74693720098fa05fef6be7298ef1caa3f6a,
status,tree-preservation-zone,,,,tree-preservation-type,c19e8dee488573aa4ab475e43148e74693720098fa05fef6be7298ef1caa3f6a,
location,tree-preservation-zone,,,,name,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
made_date,tree-preservation-zone,,,,start-date,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
species,tree-preservation-zone,,,,tree-species-list,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
tpo_number,tree-preservation-zone,,,,tree-preservation-order,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
tpo_type,tree-preservation-zone,,,,tree-preservation-type,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
varied_dat,tree-preservation-zone,,,,entry-date,cab148c36aaec04f795c14ab88b2bba4b1d713578d17dab1b5e4d782ee78b705,
OBJECTID,tree-preservation-zone,,,,reference,e6f0a43ad172c74d2ae597caf4841ec41c27bee586b0cc3fc91a11b75506ae50,
species_1_name,tree-preservation-zone,,,,tree-species-list,e6f0a43ad172c74d2ae597caf4841ec41c27bee586b0cc3fc91a11b75506ae50,
tpo_number,tree-preservation-zone,,,,tree-preservation-order,e6f0a43ad172c74d2ae597caf4841ec41c27bee586b0cc3fc91a11b75506ae50,
uprn,tree-preservation-zone,,,,address,e6f0a43ad172c74d2ae597caf4841ec41c27bee586b0cc3fc91a11b75506ae50,
location,tree-preservation-zone,,,,name,eb5dbbbc4aed2ec190375d15f06b772559d336b94ba776aa3ddd3c042efa34f8,
tpo,tree-preservation-zone,,,,tree-preservation-order,eb5dbbbc4aed2ec190375d15f06b772559d336b94ba776aa3ddd3c042efa34f8,
ADDRESS,tree-preservation-zone,,,,address-text,1b8671192d76b217bfdd8c23ca25cdac6e3ba3b2e924dd9aad8d2495f5cbc89d,
DATE_CREAT,tree-preservation-zone,,,,start-date,1b8671192d76b217bfdd8c23ca25cdac6e3ba3b2e924dd9aad8d2495f5cbc89d,
DATE_MODIF,tree-preservation-zone,,,,entry-date,1b8671192d76b217bfdd8c23ca25cdac6e3ba3b2e924dd9aad8d2495f5cbc89d,
DESCRIPT,tree-preservation-zone,,,,name,1b8671192d76b217bfdd8c23ca25cdac6e3ba3b2e924dd9aad8d2495f5cbc89d,
KEYVAL,tree-preservation-zone,,,,reference,1b8671192d76b217bfdd8c23ca25cdac6e3ba3b2e924dd9aad8d2495f5cbc89d,
REFVAL,tree-preservation-zone,,,,tree-preservation-order,1b8671192d76b217bfdd8c23ca25cdac6e3ba3b2e924dd9aad8d2495f5cbc89d,
location,tree-preservation-zone,,,,name,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
made_date,tree-preservation-zone,,,,start-date,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
species,tree-preservation-zone,,,,tree-species-list,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
tpotreeref,tree-preservation-zone,,,,reference,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
tporef,tree-preservation-zone,,,,tree-preservation-order,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
tpo_type,tree-preservation-zone,,,,tree-preservation-type,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
varied_dat,tree-preservation-zone,,,,entry-date,0c035f369a58fefe56046a87edf4f9429ae7c95aefc6a8decf0e4d85cda5ab0c,
GIS_REF,tree-preservation-zone,,,,reference,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
name,tree-preservation-zone,,,,IGNORE,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
description,tree-preservation-zone,,,,IGNORE,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
ADDRESS,tree-preservation-zone,,,,address-text,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
DATE185,tree-preservation-zone,,,,start-date,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
SPECIES,tree-preservation-zone,,,,tree-species-list,3e20b3653f51f3c3ec57a9d39bb9463553df9bf0308f9319785b87ef1116f09e,
DESCRIPT,tree-preservation-zone,,,,name,c33b6a9e91363959c5feaad7fccc5e1c50f72c949d728713fd48c48dd9335df8,
Type,tree-preservation-zone,,,,tree-preservation-type,c33b6a9e91363959c5feaad7fccc5e1c50f72c949d728713fd48c48dd9335df8,
Comment,tree-preservation-zone,,,,notes,c33b6a9e91363959c5feaad7fccc5e1c50f72c949d728713fd48c48dd9335df8,
ADDRESS,tree-preservation-zone,,,,address-text,c33b6a9e91363959c5feaad7fccc5e1c50f72c949d728713fd48c48dd9335df8,
Species,tree-preservation-zone,,,,tree-species-list,c33b6a9e91363959c5feaad7fccc5e1c50f72c949d728713fd48c48dd9335df8,
