prefix,resource,organisation,reference,entity
development-policy,,local-authority-eng:BUC,clp-H2,5600241
development-policy,,local-authority-eng:BUC,clp-H3,5600242
development-policy,,local-authority-eng:BUC,clp-H4,5600243
development-policy,,local-authority-eng:BUC,clp-H7,5600244
development-policy,,local-authority-eng:BUC,clp-H9,5600245
development-policy,,local-authority-eng:BUC,clp-H11,5600246
development-policy,,local-authority-eng:BUC,clp-H12,5600247
development-policy,,local-authority-eng:BUC,clp-H13,5600248
development-policy,,local-authority-eng:BUC,clp-H14,5600249
development-policy,,local-authority-eng:BUC,clp-H15,5600250
development-policy,,local-authority-eng:BUC,clp-H16,5600251
development-policy,,local-authority-eng:BUC,clp-H17,5600252
development-policy,,local-authority-eng:BUC,clp-H18,5600253
development-policy,,local-authority-eng:BUC,clp-H19,5600254
development-policy,,local-authority-eng:BUC,clp-H20,5600255
development-policy,,local-authority-eng:BUC,clp-H21,5600256
development-policy,,local-authority-eng:BUC,clp-S1,5600257
development-policy,,local-authority-eng:BUC,clp-S2,5600258
development-policy,,local-authority-eng:BUC,clp-S3,5600259
development-policy,,local-authority-eng:BUC,clp-S4,5600260
development-policy,,local-authority-eng:BUC,clp-S5-CH,5600261
development-policy,,local-authority-eng:BUC,clp-S5-AH,5600262
development-policy,,local-authority-eng:BUC,clp-S5-CSP,5600263
development-policy,,local-authority-eng:BUC,clp-S7,5600264
development-policy,,local-authority-eng:BUC,clp-S9,5600265
development-policy,,local-authority-eng:BUC,clp-S10,5600266
development-policy,,local-authority-eng:BUC,clp-S10A,5600267
development-policy,,local-authority-eng:BUC,clp-S11,5600268
development-policy,,local-authority-eng:BUC,clp-S12,5600269
development-policy,,local-authority-eng:BUC,clp-S13,5600270
development-policy,,local-authority-eng:BUC,clp-S14,5600271
development-policy,,local-authority-eng:BUC,clp-TR2,5600272
development-policy,,local-authority-eng:BUC,clp-TR3,5600273
development-policy,,local-authority-eng:BUC,clp-TR6,5600274
development-policy,,local-authority-eng:BUC,clp-TR9,5600275
development-policy,,local-authority-eng:BUC,clp-TR11,5600276
development-policy,,local-authority-eng:BUC,clp-TR12,5600277
development-policy,,local-authority-eng:BUC,clp-TR14,5600278
development-policy,,local-authority-eng:BUC,clp-TR15,5600279
development-policy,,local-authority-eng:BUC,clp-TR16,5600280
development-policy,,local-authority-eng:BUC,clp-R2,5600281
development-policy,,local-authority-eng:BUC,clp-R3,5600282
development-policy,,local-authority-eng:BUC,clp-R4,5600283
development-policy,,local-authority-eng:BUC,clp-R6,5600284
development-policy,,local-authority-eng:BUC,clp-R7,5600285
development-policy,,local-authority-eng:BUC,clp-R8,5600286
development-policy,,local-authority-eng:BUC,clp-R10,5600287
