end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,42101246,,,,listed-building-outline,,,,247
,,42101247,,,,listed-building-outline,,,,248
,,42101248,,,,listed-building-outline,,,,249
,,42101249,,,,listed-building-outline,,,,250
,,42101250,,,,listed-building-outline,,,,251
,,42101251,,,,listed-building-outline,,,,252
,,42101252,,,,listed-building-outline,,,,253
,,42101253,,,,listed-building-outline,,,,254
,,42101254,,,,listed-building-outline,,,,255
,,42101255,,,,listed-building-outline,,,,256
,,42101256,,,,listed-building-outline,,,,257
,,42101257,,,,listed-building-outline,,,,258
,,42101258,,,,listed-building-outline,,,,259
,,42101259,,,,listed-building-outline,,,,260
,,42101260,,,,listed-building-outline,,,,261
,,42101261,,,,listed-building-outline,,,,262
,,42101262,,,,listed-building-outline,,,,263
,,42101263,,,,listed-building-outline,,,,264
,,42101264,,,,listed-building-outline,,,,265
,,42101265,,,,listed-building-outline,,,,266
,,42101266,,,,listed-building-outline,,,,267
,,42101267,,,,listed-building-outline,,,,268
,,42101268,,,,listed-building-outline,,,,269
,,42101269,,,,listed-building-outline,,,,270
,,42101270,,,,listed-building-outline,,,,271
,,42101271,,,,listed-building-outline,,,,272
,,42101272,,,,listed-building-outline,,,,273
,,42101273,,,,listed-building-outline,,,,274
,,42101274,,,,listed-building-outline,,,,275
,,42101275,,,,listed-building-outline,,,,276
,,42101276,,,,listed-building-outline,,,,277
,,42101277,,,,listed-building-outline,,,,278
,,42101278,,,,listed-building-outline,,,,279
,,42101279,,,,listed-building-outline,,,,280
,,42101280,,,,listed-building-outline,,,,281
,,42101281,,,,listed-building-outline,,,,282
,,42101282,,,,listed-building-outline,,,,283
,,42101283,,,,listed-building-outline,,,,284
,,42101284,,,,listed-building-outline,,,,285
,,42101285,,,,listed-building-outline,,,,286
,,42101286,,,,listed-building-outline,,,,287
,,42101287,,,,listed-building-outline,,,,288
,,42101288,,,,listed-building-outline,,,,289
,,42101289,,,,listed-building-outline,,,,290
,,42101290,,,,listed-building-outline,,,,291
,,42101291,,,,listed-building-outline,,,,292
,,42101292,,,,listed-building-outline,,,,293
,,42101293,,,,listed-building-outline,,,,294
,,42101294,,,,listed-building-outline,,,,295
,,42101295,,,,listed-building-outline,,,,296
,,42101296,,,,listed-building-outline,,,,297
,,42101297,,,,listed-building-outline,,,,298
,,42101298,,,,listed-building-outline,,,,299
,,42101299,,,,listed-building-outline,,,,300
,,42101300,,,,listed-building-outline,,,,301
,,42101301,,,,listed-building-outline,,,,302
,,42101302,,,,listed-building-outline,,,,303
,,42101303,,,,listed-building-outline,,,,304
,,42101304,,,,listed-building-outline,,,,305
,,42101305,,,,listed-building-outline,,,,306
,,42101306,,,,listed-building-outline,,,,307
,,42101307,,,,listed-building-outline,,,,308
,,42101308,,,,listed-building-outline,,,,309
,,42101309,,,,listed-building-outline,,,,310
,,42101310,,,,listed-building-outline,,,,311
,,42101311,,,,listed-building-outline,,,,312
,,42101312,,,,listed-building-outline,,,,313
,,42101313,,,,listed-building-outline,,,,314
,,42101314,,,,listed-building-outline,,,,315
,,42101315,,,,listed-building-outline,,,,316
,,42101316,,,,listed-building-outline,,,,317
,,42101317,,,,listed-building-outline,,,,318
,,42101318,,,,listed-building-outline,,,,319
,,42101319,,,,listed-building-outline,,,,320
,,42101320,,,,listed-building-outline,,,,321
,,42101321,,,,listed-building-outline,,,,322
,,42101322,,,,listed-building-outline,,,,323
,,42101323,,,,listed-building-outline,,,,324
,,42101324,,,,listed-building-outline,,,,325
,,42101325,,,,listed-building-outline,,,,326
,,42101326,,,,listed-building-outline,,,,327
,,42101327,,,,listed-building-outline,,,,328
,,42101328,,,,listed-building-outline,,,,329
,,42101329,,,,listed-building-outline,,,,330
,,42101330,,,,listed-building-outline,,,,331
,,42101331,,,,listed-building-outline,,,,332
,,42101332,,,,listed-building-outline,,,,333
,,42101333,,,,listed-building-outline,,,,334
,,42101334,,,,listed-building-outline,,,,335
,,42101335,,,,listed-building-outline,,,,336
,,42101336,,,,listed-building-outline,,,,337
,,42101337,,,,listed-building-outline,,,,338
,,42101338,,,,listed-building-outline,,,,339
,,42101339,,,,listed-building-outline,,,,340
,,42101340,,,,listed-building-outline,,,,341
,,42101341,,,,listed-building-outline,,,,342
,,42101342,,,,listed-building-outline,,,,343
,,42101343,,,,listed-building-outline,,,,344
,,42101344,,,,listed-building-outline,,,,345
,,42101345,,,,listed-building-outline,,,,346
,,42101346,,,,listed-building-outline,,,,347
,,42101347,,,,listed-building-outline,,,,348
,,42101348,,,,listed-building-outline,,,,349
,,42101349,,,,listed-building-outline,,,,350
,,42101350,,,,listed-building-outline,,,,351
