source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
34e1925ed1556054615a542fff91344a,,brownfield-site,,,,local-authority-eng:CAB,brownfield-site,2021-08-31T12:37:21Z,,
aafbd23a322b36a2dac74a89eed1de00,,brownfield-site,,,,local-authority-eng:CAN,brownfield-site,2021-08-31T12:37:21Z,,
6ca86364b3367bcd0ca40305fa757c7a,,brownfield-site,,,,local-authority-eng:CAR,brownfield-site,2021-08-31T12:37:21Z,,
b82ca5dc6e6c99b20f924da04e51616b,,brownfield-site,,,,local-authority-eng:CAS,brownfield-site,2021-08-31T12:37:21Z,,
ed5b52ca6adad9198ab927f9329aa4d5,,brownfield-site,,,,local-authority-eng:CAT,brownfield-site,2021-08-31T12:37:21Z,,
510895f591b93ca4cca91fc1dba6f67d,,brownfield-site,,,,local-authority-eng:CBF,brownfield-site,2021-08-31T12:37:21Z,,
575d6b1f656200a8c8a77e569f1f4a76,,brownfield-site,,,,local-authority-eng:CHA,brownfield-site,2021-08-31T12:37:21Z,,
45ab713cbfb1ad9f776c999608c00aea,,brownfield-site,,,,local-authority-eng:CHC,brownfield-site,2021-08-31T12:37:21Z,,2019-03-31
f342018cd36a091efb17a10756f962ce,,brownfield-site,,,,local-authority-eng:CHE,brownfield-site,2021-08-31T12:37:21Z,,
0ac83803401ecd260ff0ad4eebd415cc,,brownfield-site,,,,local-authority-eng:CHI,brownfield-site,2021-08-31T12:37:21Z,,
e0f491c3f9d6d338646c80b9a4494254,,brownfield-site,,,,local-authority-eng:CHL,brownfield-site,2021-08-31T12:37:21Z,,
3beda295ab44c0fb373523d7736b12b3,,brownfield-site,,,,local-authority-eng:CHN,brownfield-site,2021-08-31T12:37:21Z,,2020-03-31
4678fc8c8fd16918707d6efd502ffae1,,brownfield-site,,,,local-authority-eng:CHO,brownfield-site,2021-08-31T12:37:21Z,,
43721914b7ae12a87fa49c279925fc14,,brownfield-site,,,,local-authority-eng:CHR,brownfield-site,2021-08-31T12:37:21Z,,
df56977366afa22e9ca9b587e135c77b,,brownfield-site,,,,local-authority-eng:CHS,brownfield-site,2021-08-31T12:37:21Z,,
a6b91848a11adc86179063761e004f7d,,brownfield-site,,,,local-authority-eng:CHT,brownfield-site,2021-08-31T12:37:21Z,,
229eaf2930e6b60f8a865bf358e8b7b2,,brownfield-site,,,,local-authority-eng:CHW,brownfield-site,2021-08-31T12:37:21Z,,
0144566fef98d1d6578c8091eb652f2a,,brownfield-site,,,,local-authority-eng:CLD,brownfield-site,2021-08-31T12:37:21Z,,
31250ad794541660076c2269cde61edc,,brownfield-site,,,,local-authority-eng:CMD,brownfield-site,2021-08-31T12:37:21Z,,
81db4c7d5559d46e2af16285c675a10a,,brownfield-site,,,,local-authority-eng:COL,brownfield-site,2021-08-31T12:37:21Z,,
1932462a48a86c93c7c5714ddb85617c,,brownfield-site,,,,local-authority-eng:COP,brownfield-site,2021-08-31T12:37:21Z,,
dff3c13cfa4905f0b0d1a025c70fd519,,brownfield-site,,,,local-authority-eng:COR,brownfield-site,2021-08-31T12:37:21Z,,
8dac9c0d67bb02010f4a485c1e8f039d,,brownfield-site,,,,local-authority-eng:COT,brownfield-site,2021-08-31T12:37:21Z,,
d6b6efa4d36d3a544a4a17496b5619bb,,brownfield-site,,,,local-authority-eng:COV,brownfield-site,2021-08-31T12:37:21Z,,
3f7426ce8d492a5c225a2203166d675b,,brownfield-site,,,,local-authority-eng:CRA,brownfield-site,2021-08-31T12:37:21Z,,
4f29104fcb044cd417d31ef49cfb50cb,,brownfield-site,,,,local-authority-eng:CRW,brownfield-site,2021-08-31T12:37:21Z,,
33eebf18dd22366bb66c650f52232d15,,brownfield-site,,,,local-authority-eng:CRY,brownfield-site,2021-08-31T12:37:21Z,,
59fa0c85d583dc0399e2d73a39181aea,,brownfield-site,,,,local-authority-eng:DAC,brownfield-site,2021-08-31T12:37:21Z,,
e12af71d64a32685139ab3fc64831472,,brownfield-site,,,,local-authority-eng:DAL,brownfield-site,2021-08-31T12:37:21Z,,
d8791474c7fb289a581b4e7b063dac35,,brownfield-site,,,,local-authority-eng:DAR,brownfield-site,2021-08-31T12:37:21Z,,
09ed438d6f125c3dd25a2c5f58417d6a,,brownfield-site,,,,local-authority-eng:DAV,brownfield-site,2021-08-31T12:37:21Z,,
4a7ce1f323fca8d0b01abd34e3c95af0,,brownfield-site,,,,local-authority-eng:DEB,brownfield-site,2021-08-31T12:37:21Z,,
fbdb573ac0900cb232f1285530177361,,brownfield-site,,,,local-authority-eng:DER,brownfield-site,2021-08-31T12:37:21Z,,
872ca0139323972bacd0b83237bc41ea,,brownfield-site,,,,local-authority-eng:DNC,brownfield-site,2021-08-31T12:37:21Z,,
f3a62a8e6b6391a4541065676540b5ec,,brownfield-site,,,,local-authority-eng:DOV,brownfield-site,2021-08-31T12:37:21Z,,
28ba94de8fbe82307957f33fa799eaf2,,brownfield-site,,,,local-authority-eng:DST,brownfield-site,2021-08-31T12:37:21Z,,
a20e0bb0b9074f7046af24fb21aeb04c,,brownfield-site,,,,local-authority-eng:DUD,brownfield-site,2021-08-31T12:37:21Z,,
569cfbabf532878b908170ffa67259f9,,brownfield-site,,,,local-authority-eng:DUR,brownfield-site,2021-08-31T12:37:21Z,,
a35c583414d3558e62fd4836bcf71e80,,brownfield-site,,,,local-authority-eng:EAL,brownfield-site,2021-08-31T12:37:21Z,,
d4fa14724c95b2bac79009c1b07cd93f,,brownfield-site,,,,local-authority-eng:EAS,brownfield-site,2021-08-31T12:37:21Z,,
a5fd3e210b466df887e36a1343be0e5c,,brownfield-site,,,,local-authority-eng:EAT,brownfield-site,2021-08-31T12:37:21Z,,
5043ad99782d57d3cb2a0d9287eef08a,,brownfield-site,,,,local-authority-eng:ECA,brownfield-site,2021-08-31T12:37:21Z,,
58187fc65c33690f2310b1dc5929ecfe,,brownfield-site,,,,local-authority-eng:EDE,brownfield-site,2021-08-31T12:37:21Z,,
a018b4011a91b1a2c22782d26e2dc7cc,,brownfield-site,,,,local-authority-eng:EDN,brownfield-site,2021-08-31T12:37:21Z,,
5afe0b5031e1f1bb4e0e3551425b4584,,brownfield-site,,,,local-authority-eng:EDO,brownfield-site,2021-08-31T12:37:21Z,,2019-03-31
a95a973506549874ebb5af3821ea30e1,,brownfield-site,,,,local-authority-eng:EHA,brownfield-site,2021-08-31T12:37:21Z,,
4c59bbb612d654b3ff06379023f3b32a,,brownfield-site,,,,local-authority-eng:EHE,brownfield-site,2021-08-31T12:37:21Z,,
02bc9381ca21196e9d855483310abb03,,brownfield-site,,,,local-authority-eng:ELI,brownfield-site,2021-08-31T12:37:21Z,,
4bd9aab27fd5a6c241379979aa53baaa,,brownfield-site,,,,local-authority-eng:ELM,brownfield-site,2021-08-31T12:37:21Z,,
6d91a8dee62a27adc9749fe9c57e9d25,,brownfield-site,,,,local-authority-eng:ENF,brownfield-site,2021-08-31T12:37:21Z,,
2ccb8a54dfce9da951c9a9766466ea2e,,brownfield-site,,,,local-authority-eng:ENO,brownfield-site,2021-08-31T12:37:21Z,,
b85b5609f018a9f839ca92e5b447ad8f,,brownfield-site,,,,local-authority-eng:EPP,brownfield-site,2021-08-31T12:37:21Z,,
3c6b553da32cd1794da3b9b288681106,,brownfield-site,,,,local-authority-eng:EPS,brownfield-site,2021-08-31T12:37:21Z,,
97fafd5f4ce03b02635b67c63b7ae444,,brownfield-site,,,,local-authority-eng:ERE,brownfield-site,2021-08-31T12:37:21Z,,
d5141332239340a29ccfd9a2b9d935cd,,brownfield-site,,,,local-authority-eng:ERY,brownfield-site,2021-08-31T12:37:21Z,,
129b6a8b202b559f828084ebd2ada4a9,,brownfield-site,,,,local-authority-eng:ESK,brownfield-site,2021-08-31T12:37:21Z,,
994ffb6ff5d37598ee55edb8b567d702,,brownfield-site,,,,local-authority-eng:EST,brownfield-site,2021-08-31T12:37:21Z,,
b2a5cada75c93ea24ff110f99919e133,,brownfield-site,,,,local-authority-eng:EXE,brownfield-site,2021-08-31T12:37:21Z,,
65bfbab4b0dda2a8b6afc4c4328784a1,,brownfield-site,,,,local-authority-eng:FAR,brownfield-site,2021-08-31T12:37:21Z,,
5b87ae7d5157c49345c205f493bb4c6f,,brownfield-site,,,,local-authority-eng:FEN,brownfield-site,2021-08-31T12:37:21Z,,
4105666ac1322d3aaa52906c7e3b79bb,,brownfield-site,,,,local-authority-eng:FOE,brownfield-site,2021-08-31T12:37:21Z,,
20db85940287fe3523af832bc8f93aa7,,brownfield-site,,,,local-authority-eng:FOR,brownfield-site,2021-08-31T12:37:21Z,,2019-03-31
85b81533f225906c0cd0654e47f63efd,,brownfield-site,,,,local-authority-eng:FYL,brownfield-site,2021-08-31T12:37:21Z,,
3a5d59f4acd660a021831cf4e386e537,,brownfield-site,,,,local-authority-eng:GAT,brownfield-site,2021-08-31T12:37:21Z,,
983b9e1163b0cba4fea2c0aabab5c00a,,brownfield-site,,,,local-authority-eng:GED,brownfield-site,2021-08-31T12:37:21Z,,
367ba9e06732d497c7ed3bc68f20ca8e,,brownfield-site,,,,local-authority-eng:GLA,brownfield-site,2021-08-31T12:37:21Z,,
0241bdf3463ca2460c3f1517c2c8f0b1,,brownfield-site,,,,local-authority-eng:GLO,brownfield-site,2021-08-31T12:37:21Z,,
b81192721dac02a7d046def702af32ba,,brownfield-site,,,,local-authority-eng:GOS,brownfield-site,2021-08-31T12:37:21Z,,
e628213ff5bd0bd5c18026a855873710,,brownfield-site,,,,local-authority-eng:GRA,brownfield-site,2021-08-31T12:37:21Z,,
e168f4ae75b4664e7873e9d9b35af3eb,,brownfield-site,,,,local-authority-eng:GRE,brownfield-site,2021-08-31T12:37:21Z,,
8083874ebab9ebef791e941ffbf6f4d2,,brownfield-site,,,,local-authority-eng:GRT,brownfield-site,2021-08-31T12:37:21Z,,
12154d5a7d36cafb104adbd64bf2d597,,brownfield-site,,,,local-authority-eng:GRY,brownfield-site,2021-08-31T12:37:21Z,,
5b4a904959786a38e8d5326c3639941f,,brownfield-site,,,,local-authority-eng:HAA,brownfield-site,2021-08-31T12:37:21Z,,
8c40787d6dfc6d34443432e0b4ea24f6,,brownfield-site,,,,local-authority-eng:HAE,brownfield-site,2021-08-31T12:37:21Z,,
bac25fdb3c426892b303b7063b11070d,,brownfield-site,,,,local-authority-eng:HAG,brownfield-site,2021-08-31T12:37:21Z,,
b3ba4160a19ac56e39474ad1bc14f149,,brownfield-site,,,,local-authority-eng:HAL,brownfield-site,2021-08-31T12:37:21Z,,
8210521f063fdb6cce9bd43e4129f2bb,,brownfield-site,,,,local-authority-eng:HAO,brownfield-site,2021-08-31T12:37:21Z,,
9562628e9c25b52e1e5ca30126e0f87a,,brownfield-site,,,,local-authority-eng:HAR,brownfield-site,2021-08-31T12:37:21Z,,
efabd4153c71600ef742fa6e8ffd6152,,brownfield-site,,,,local-authority-eng:HAS,brownfield-site,2021-08-31T12:37:21Z,,
4e1b931ff91e51eb308066bcb337e1b4,,brownfield-site,,,,local-authority-eng:HAT,brownfield-site,2021-08-31T12:37:21Z,,
f99bce6f67abba4fa84e3dc84006a68d,,brownfield-site,,,,local-authority-eng:HAV,brownfield-site,2021-08-31T12:37:21Z,,
8da02192c5510b68db5c82a1b215d4bd,,brownfield-site,,,,local-authority-eng:HCK,brownfield-site,2021-08-31T12:37:21Z,,
56870d1ea991ed51acbee63ec22af658,,brownfield-site,,,,local-authority-eng:HEF,brownfield-site,2021-08-31T12:37:21Z,,
174c67ed2795d84fc33e4fbe3b6b41f5,,brownfield-site,,,,local-authority-eng:HER,brownfield-site,2021-08-31T12:37:21Z,,
bb2d9b56a8ccbb61f5b01f21596a1251,,brownfield-site,,,,local-authority-eng:HIG,brownfield-site,2021-08-31T12:37:21Z,,
49d9d623d18734587218c2dffa799afa,,brownfield-site,,,,local-authority-eng:HIL,brownfield-site,2021-08-31T12:37:21Z,,
d4b19f1880d8ef947a30771bd91f3ad7,,brownfield-site,,,,local-authority-eng:HIN,brownfield-site,2021-08-31T12:37:21Z,,
2ae04ab8aeb4d2d30e735efc6a0457ff,,brownfield-site,,,,local-authority-eng:HMF,brownfield-site,2021-08-31T12:37:21Z,,
5a5c87a85d7eb14395eb8cdf66487d32,,brownfield-site,,,,local-authority-eng:HNS,brownfield-site,2021-08-31T12:37:21Z,,
3355d686c25022f368a40cc18e682099,,brownfield-site,,,,local-authority-eng:HOR,brownfield-site,2021-08-31T12:37:21Z,,
0fdcabd3ecb7cf722c5e717522e85636,,brownfield-site,,,,local-authority-eng:HPL,brownfield-site,2021-08-31T12:37:21Z,,
e2f8f0e3b0e70087099fcdec6ae9de44,,brownfield-site,,,,local-authority-eng:HRW,brownfield-site,2021-08-31T12:37:21Z,,
6cf1b08274da720a1c4c9335102de999,,brownfield-site,,,,local-authority-eng:HRY,brownfield-site,2021-08-31T12:37:21Z,,
6aca51d81546bbe1fa5de19f18057641,,brownfield-site,,,,local-authority-eng:HUN,brownfield-site,2021-08-31T12:37:21Z,,
3b6c3a4eb2c2ab052a23027d4c49173a,,brownfield-site,,,,local-authority-eng:HYN,brownfield-site,2021-08-31T12:37:21Z,,
b0f160d118af21e29f96fb888923ca7a,,brownfield-site,,,,local-authority-eng:IOS,brownfield-site,2021-08-31T12:37:21Z,,
7d65ec5e382dfc37484d0bc38d379408,,brownfield-site,,,,local-authority-eng:IOW,brownfield-site,2021-08-31T12:37:21Z,,
719f18704471ea5940c3340e39082a38,,brownfield-site,,,,local-authority-eng:IPS,brownfield-site,2021-08-31T12:37:21Z,,
c93904f7e599f88ec853626f265e5c3d,,brownfield-site,,,,local-authority-eng:ISL,brownfield-site,2021-08-31T12:37:21Z,,
8585324eabd0d507268e7a582534bc1b,,brownfield-site,,,,local-authority-eng:KEC,brownfield-site,2021-08-31T12:37:21Z,,
eb1f957623362f59a6577aba66e9ac92,,brownfield-site,,,,local-authority-eng:KET,brownfield-site,2021-08-31T12:37:21Z,,
d629dc3f8d15f736763a6f3cc19fa5eb,,brownfield-site,,,,local-authority-eng:KHL,brownfield-site,2021-08-31T12:37:21Z,,
ed30502215ddbf675145dbda4e051724,,brownfield-site,,,,local-authority-eng:KIN,brownfield-site,2021-08-31T12:37:21Z,,
a23a11a79727bb732a532718449fe7fb,,brownfield-site,,,,local-authority-eng:KIR,brownfield-site,2021-08-31T12:37:21Z,,
551aaa522ead66394a19e0593cfd4401,,brownfield-site,,,,local-authority-eng:KTT,brownfield-site,2021-08-31T12:37:21Z,,
776e6356a3b0fd26b5945b57beb502eb,,brownfield-site,,,,local-authority-eng:KWL,brownfield-site,2021-08-31T12:37:21Z,,
fafc040035f747fa6f64ddd89dd8236d,,brownfield-site,,,,local-authority-eng:LAC,brownfield-site,2021-08-31T12:37:21Z,,
257ab760fea9ab7f74c96d573fcfc1d6,,brownfield-site,,,,local-authority-eng:LBH,brownfield-site,2021-08-31T12:37:21Z,,
7c78f43be1859c7aa3cb0b64105c6332,,brownfield-site,,,,local-authority-eng:LCE,brownfield-site,2021-08-31T12:37:21Z,,
91eb2f5775b77de9f0458e7d833b2a69,,brownfield-site,,,,local-authority-eng:LDS,brownfield-site,2021-08-31T12:37:21Z,,
0d62cbec9f868f9de3dc8c116f7a15b7,,brownfield-site,,,,local-authority-eng:LEE,brownfield-site,2021-08-31T12:37:21Z,,
63d4f71c1c00a312236cee059fb582db,,brownfield-site,,,,local-authority-eng:LEW,brownfield-site,2021-08-31T12:37:21Z,,
de390290469f0aeac09c56bc2c21aff5,,brownfield-site,,,,local-authority-eng:LIC,brownfield-site,2021-08-31T12:37:21Z,,
3613e74fb4a661b77995434746eb8943,,brownfield-site,,,,local-authority-eng:LIF,brownfield-site,2021-08-31T12:37:21Z,,
1fc466f3ea9b85f22789038164dc504b,,brownfield-site,,,,local-authority-eng:LIV,brownfield-site,2021-08-31T12:37:21Z,,
b5f4254c7ed5d189dde935d29d0c717d,,brownfield-site,,,,local-authority-eng:LND,brownfield-site,2021-08-31T12:37:21Z,,
81608fdb763b628f82a9bef805091de8,,brownfield-site,,,,local-authority-eng:LUT,brownfield-site,2021-08-31T12:37:21Z,,
9b04c06ff92e83b57069aac38797398a,,brownfield-site,,,,local-authority-eng:MAI,brownfield-site,2021-08-31T12:37:21Z,,
92025c94e68413ebeac1b5bb11ac6ff5,,brownfield-site,,,,local-authority-eng:MAL,brownfield-site,2021-08-31T12:37:21Z,,
7b0ab498fbe43fab50bd9c4b03b278e6,,brownfield-site,,,,local-authority-eng:MAN,brownfield-site,2021-08-31T12:37:21Z,,
c55ef29953263dc7e32495f1508af473,,brownfield-site,,,,local-authority-eng:MAS,brownfield-site,2021-08-31T12:37:21Z,,
348992add36126975d57c3e14846d79a,,brownfield-site,,,,local-authority-eng:MAV,brownfield-site,2021-08-31T12:37:21Z,,
5f12d6d7f8c15270ed2c8dea29396dae,,brownfield-site,,,,local-authority-eng:MDB,brownfield-site,2021-08-31T12:37:21Z,,
1b2cad9063d97a6e9e6d4cdae0a9e952,,brownfield-site,,,,local-authority-eng:MDE,brownfield-site,2021-08-31T12:37:21Z,,
3100ba745f6379bebc0a847aa1ead7c4,,brownfield-site,,,,local-authority-eng:MDW,brownfield-site,2021-08-31T12:37:21Z,,
1d985e8130c73a9d0ad4ed7c9387959f,,brownfield-site,,,,local-authority-eng:MEL,brownfield-site,2021-08-31T12:37:21Z,,
9d8b9cb2fee0c7f3efa65ed23e60c456,,brownfield-site,,,,local-authority-eng:MEN,brownfield-site,2021-08-31T12:37:21Z,,
6d9b4fd082e7f2f724b3a10e25f25574,,brownfield-site,,,,local-authority-eng:MIK,brownfield-site,2021-08-31T12:37:21Z,,
84bb8015ffb9f78cbe6e97f323d8d463,,brownfield-site,,,,local-authority-eng:MOL,brownfield-site,2021-08-31T12:37:21Z,,
036233d6155b1459b9a4a34cdcf295e2,,brownfield-site,,,,local-authority-eng:MRT,brownfield-site,2021-08-31T12:37:21Z,,
cc3f29ac57a9b01ee0bd8e93bafe6277,,brownfield-site,,,,local-authority-eng:MSS,brownfield-site,2021-08-31T12:37:21Z,,
cc5e88d9e0b487606ee5eb3d7232efb8,,brownfield-site,,,,local-authority-eng:MSU,brownfield-site,2021-08-31T12:37:21Z,,
08375137ae37385b4183aa8c65c1adab,,brownfield-site,,,,local-authority-eng:NBL,brownfield-site,2021-08-31T12:37:21Z,,
ddfa0377899c1d4592336beeceb6ac7e,,brownfield-site,,,,local-authority-eng:NDE,brownfield-site,2021-08-31T12:37:21Z,,
ea24b8613ba2da94ee4ab327be8dc407,,brownfield-site,,,,local-authority-eng:NDO,brownfield-site,2021-08-31T12:37:21Z,,2019-03-31
8902b4f6cd7c2efd3c912dd8d099e900,,brownfield-site,,,,local-authority-eng:NEA,brownfield-site,2021-08-31T12:37:21Z,,
b229b1a177449481cff569c55efd6dd0,,brownfield-site,,,,local-authority-eng:NEC,brownfield-site,2021-08-31T12:37:21Z,,
86e657ff3b9e136c943524d80ca133c6,,brownfield-site,,,,local-authority-eng:NED,brownfield-site,2021-08-31T12:37:21Z,,
97a9cfdbb69f70a5c5fb68d7d71ae96d,,brownfield-site,,,,local-authority-eng:NEL,brownfield-site,2021-08-31T12:37:21Z,,
dbdf59ab4ac7b3ea9f9ab08eef639e6a,,brownfield-site,,,,local-authority-eng:NET,brownfield-site,2021-08-31T12:37:21Z,,
