prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
ancient-woodland,,,,,1481519,110000411,,,
ancient-woodland,,,,,1481520,110000412,,,
ancient-woodland,,,,,1481297,110000413,,,
ancient-woodland,,,,,1482041,110000414,,,
ancient-woodland,,,,,1482039,110000415,,,
ancient-woodland,,,,,1481922,110000416,,,
ancient-woodland,,,,,1481923,110000417,,,
ancient-woodland,,,,,1481522,110000418,,,
ancient-woodland,,,,,1482528,110000419,,,
ancient-woodland,,,,,1481625,110000420,,,
ancient-woodland,,,,,1481654,110000421,,,
ancient-woodland,,,,,1482373,110000422,,,
ancient-woodland,,,,,1481530,110000423,,,
ancient-woodland,,,,,1482437,110000424,,,
ancient-woodland,,,,,1482436,110000425,,,
ancient-woodland,,,,,1481490,110000426,,,
ancient-woodland,,,,,1481776,110000427,,,
ancient-woodland,,,,,1480905,110000428,,,
ancient-woodland,,,,,1480897,110000429,,,
ancient-woodland,,,,,1497839,110000430,,,
ancient-woodland,,,,,1497806,110000431,,,
ancient-woodland,,,,,1481292,110000432,,,
ancient-woodland,,,,,1481293,110000433,,,
ancient-woodland,,,,,1481301,110000434,,,
ancient-woodland,,,,,1482298,110000435,,,
ancient-woodland,,,,,1481069,110000436,,,
ancient-woodland,,,,,1481072,110000437,,,
ancient-woodland,,,,,1481812,110000438,,,
ancient-woodland,,,,,1481627,110000439,,,
ancient-woodland,,,,,1482242,110000440,,,
ancient-woodland,,,,,1482649,110000441,,,
ancient-woodland,,,,,1481076,110000442,,,
ancient-woodland,,,,,1481075,110000443,,,
ancient-woodland,,,,,1481993,110000444,,,
ancient-woodland,,,,,1482003,110000445,,,
ancient-woodland,,,,,1481986,110000446,,,
ancient-woodland,,,,,1482018,110000447,,,
ancient-woodland,,,,,1481737,110000448,,,
ancient-woodland,,,,,1481738,110000449,,,
ancient-woodland,,,,,1482291,110000450,,,
ancient-woodland,,,,,1497861,110000451,,,
ancient-woodland,,,,,1497834,110000452,,,
ancient-woodland,,,,,1497835,110000453,,,
ancient-woodland,,,,,1497836,110000454,,,
ancient-woodland,,,,,1481937,110000455,,,
ancient-woodland,,,,,1482644,110000456,,,
ancient-woodland,,,,,1482451,110000457,,,
ancient-woodland,,,,,1497874,110000458,,,
ancient-woodland,,,,,1482473,110000459,,,
ancient-woodland,,,,,1480875,110000460,,,
ancient-woodland,,,,,1481664,110000461,,,
ancient-woodland,,,,,1482426,110000462,,,
ancient-woodland,,,,,1481430,110000463,,,
ancient-woodland,,,,,1481428,110000464,,,
ancient-woodland,,,,,1481797,110000465,,,
ancient-woodland,,,,,1481111,110000466,,,
ancient-woodland,,,,,1480851,110000467,,,
ancient-woodland,,,,,1480830,110000468,,,
ancient-woodland,,,,,1481116,110000469,,,
ancient-woodland,,,,,1480925,110000470,,,
ancient-woodland,,,,,1480924,110000471,,,
ancient-woodland,,,,,1480977,110000472,,,
ancient-woodland,,,,,1481258,110000473,,,
ancient-woodland,,,,,1481257,110000474,,,
ancient-woodland,,,,,1483007,110000475,,,
ancient-woodland,,,,,1482812,110000476,,,
ancient-woodland,,,,,1482332,110000477,,,
ancient-woodland,,,,,1482331,110000478,,,
ancient-woodland,,,,,1482203,110000479,,,
ancient-woodland,,,,,1482205,110000480,,,
ancient-woodland,,,,,1482204,110000481,,,
ancient-woodland,,,,,1481674,110000482,,,
ancient-woodland,,,,,1481673,110000483,,,
ancient-woodland,,,,,1481773,110000484,,,
ancient-woodland,,,,,1480929,110000485,,,
ancient-woodland,,,,,1481974,110000486,,,
ancient-woodland,,,,,1481108,110000487,,,
ancient-woodland,,,,,1481929,110000488,,,
ancient-woodland,,,,,1482369,110000489,,,
ancient-woodland,,,,,1482460,110000490,,,
ancient-woodland,,,,,1482461,110000491,,,
ancient-woodland,,,,,1482344,110000492,,,
ancient-woodland,,,,,1482345,110000493,,,
ancient-woodland,,,,,1482248,110000494,,,
ancient-woodland,,,,,1480896,110000495,,,
ancient-woodland,,,,,1482352,110000496,,,
ancient-woodland,,,,,1480895,110000497,,,
ancient-woodland,,,,,1481420,110000498,,,
ancient-woodland,,,,,1482494,110000499,,,
ancient-woodland,,,,,1482679,110000500,,,
ancient-woodland,,,,,1482678,110000501,,,
ancient-woodland,,,,,1481389,110000502,,,
ancient-woodland,,,,,1481926,110000503,,,
ancient-woodland,,,,,1481179,110000504,,,
ancient-woodland,,,,,1482166,110000505,,,
ancient-woodland,,,,,1482167,110000506,,,
ancient-woodland,,,,,1481983,110000507,,,
ancient-woodland,,,,,1481978,110000508,,,
ancient-woodland,,,,,1480727,110000509,,,
ancient-woodland,,,,,1482215,110000510,,,
