old-entity,status,entity,end-date,notes,entry-date,start-date
44004610,301,44010192,,,,
44004611,301,44010203,,,,
44004612,301,44010204,,,,
44004613,301,44010200,,,,
44004614,301,44010183,,,,
44004615,301,44010198,,,,
44004616,301,44010199,,,,
44004617,301,44010184,,,,
44004618,301,44010188,,,,
44004619,301,44010190,,,,
44006050,301,44010202,,,,
44006051,301,44010186,,,,
44002349,301,44010245,,,,
44002350,301,44010242,,,,
44002351,301,44010247,,,,
44002352,301,44010228,,,,
44002353,301,44010250,,,,
44002354,301,44010231,,,,
44002355,301,44010218,,,,
44002356,301,44010227,,,,
44002357,301,44010230,,,,
44002358,301,44010226,,,,
44002359,301,44010239,,,,
44002360,301,44010249,,,,
44002361,301,44010229,,,,
44002362,301,44010224,,,,
44002363,301,44010251,,,,
44002364,301,44010246,,,,
44002366,301,44010233,,,,
44002367,301,44010235,,,,
44002368,301,44010236,,,,
44002369,301,44010221,,,,
44002370,301,44010243,,,,
44002371,301,44010220,,,,
44002372,301,44010234,,,,
44002373,301,44010225,,,,
44002374,301,44010219,,,,
44002375,301,44010252,,,,
44002376,301,44010241,,,,
44002377,301,44010244,,,,
44002378,301,44010240,,,,
44002379,301,44010248,,,,
44002380,301,44010238,,,,
44002381,301,44010217,,,,
44004078,301,44010253,,,,
44004079,301,44010254,,,,
44004080,301,44010255,,,,
44006536,301,44010262,,,,
44006537,301,44010261,,,,
44006538,301,44010260,,,,
44006539,301,44010263,,,,
44006540,301,44010258,,,,
44006541,301,44010256,,,,
44006542,301,44010259,,,,
44006871,301,44010223,,,,
44006872,301,44010257,,,,
44006873,301,44010237,,,,
44007440,301,44010222,,,,
44000589,301,44010146,,,,
44006785,301,44010177,,,,
44006891,301,44010142,,,,
44006892,301,44010171,,,,
44006893,301,44010143,,,,
44006894,301,44010144,,,,
44006895,301,44010147,,,,
44006896,301,44010172,,,,
44006897,301,44010148,,,,
44006898,301,44010149,,,,
44006899,301,44010150,,,,
44006900,301,44010152,,,,
44006901,301,44010176,,,,
44006902,301,44010153,,,,
44006903,301,44010174,,,,
44006906,301,44010155,,,,
44006907,301,44010173,,,,
44006908,301,44010156,,,,
44006909,301,44010157,,,,
44006910,301,44010158,,,,
44006911,301,44010159,,,,
44006912,301,44010160,,,,
44006913,301,44010161,,,,
44006914,301,44010162,,,,
44006916,301,44010163,,,,
44006917,301,44010164,,,,
44006918,301,44010166,,,,
44006920,301,44010167,,,,
44001139,301,44009684,,,,
44006915,301,44010178,,,,
44007891,410,,,ESK entity from endpoint with duplicated reference values,,
44007892,410,,,ESK entity from endpoint with duplicated reference values,,
44007893,410,,,ESK entity from endpoint with duplicated reference values,,
44007894,410,,,ESK entity from endpoint with duplicated reference values,,
44007895,410,,,ESK entity from endpoint with duplicated reference values,,
44007896,410,,,ESK entity from endpoint with duplicated reference values,,
44007897,410,,,ESK entity from endpoint with duplicated reference values,,
44007898,410,,,ESK entity from endpoint with duplicated reference values,,
44007899,410,,,ESK entity from endpoint with duplicated reference values,,
44007900,410,,,ESK entity from endpoint with duplicated reference values,,
44007901,410,,,ESK entity from endpoint with duplicated reference values,,
44012502,301,44013652,,,,
44012504,301,44013659,,,,
44012505,301,44013695,,,,
44012506,301,44013666,,,,
44012507,301,44013653,,,,
44012508,301,44013661,,,,
44012510,301,44013685,,,,
44012511,301,44013687,,,,
44012513,301,44013667,,,,
44012514,301,44013679,,,,
44012515,301,44013673,,,,
44012516,301,44013671,,,,
