prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
planning-condition,,,,local-authority:DNC,U0107835,73000171,,,
planning-condition,,,,local-authority:DNC,U0107836,73000172,,,
planning-condition,,,,local-authority:DNC,U0107847,73000173,,,
planning-condition,,,,local-authority:DNC,U0107848,73000174,,,
planning-condition,,,,local-authority:DNC,U0107871,73000175,,,
planning-condition,,,,local-authority:DNC,U0107872,73000176,,,
planning-condition,,,,local-authority:DNC,U0107873,73000177,,,
planning-condition,,,,local-authority:DNC,U0107874,73000178,,,
planning-condition,,,,local-authority:DNC,U0107877,73000179,,,
planning-condition,,,,local-authority:DNC,U0107878,73000180,,,
planning-condition,,,,local-authority:DNC,U0107881,73000181,,,
planning-condition,,,,local-authority:DNC,U0107882,73000182,,,
planning-condition,,,,local-authority:DNC,U0107902,73000183,,,
planning-condition,,,,local-authority:DNC,U0107903,73000184,,,
planning-condition,,,,local-authority:DNC,U0107904,73000185,,,
planning-condition,,,,local-authority:DNC,U0107927,73000186,,,
planning-condition,,,,local-authority:DNC,U0107928,73000187,,,
planning-condition,,,,local-authority:DNC,U0107929,73000188,,,
planning-condition,,,,local-authority:DNC,U0107952,73000189,,,
planning-condition,,,,local-authority:DNC,U0107953,73000190,,,
planning-condition,,,,local-authority:DNC,U0107954,73000191,,,
planning-condition,,,,local-authority:DNC,U0107955,73000192,,,
planning-condition,,,,local-authority:DNC,U0107956,73000193,,,
planning-condition,,,,local-authority:DNC,U0107957,73000194,,,
planning-condition,,,,local-authority:DNC,U0107959,73000195,,,
planning-condition,,,,local-authority:DNC,U0107960,73000196,,,
planning-condition,,,,local-authority:DNC,U0107987,73000197,,,
planning-condition,,,,local-authority:DNC,U0107989,73000198,,,
planning-condition,,,,local-authority:DNC,U0108002,73000199,,,
planning-condition,,,,local-authority:DNC,U0108051,73000200,,,
planning-condition,,,,local-authority:DNC,U0108052,73000201,,,
planning-condition,,,,local-authority:DNC,U0108055,73000202,,,
planning-condition,,,,local-authority:DNC,U0108107,73000203,,,
planning-condition,,,,local-authority:DNC,U0108108,73000204,,,
planning-condition,,,,local-authority:DNC,U0108109,73000205,,,
planning-condition,,,,local-authority:DNC,U0108110,73000206,,,
planning-condition,,,,local-authority:DNC,U0108111,73000207,,,
planning-condition,,,,local-authority:DNC,U0108119,73000208,,,
planning-condition,,,,local-authority:DNC,U0108120,73000209,,,
planning-condition,,,,local-authority:DNC,U0108143,73000210,,,
planning-condition,,,,local-authority:DNC,U0108151,73000211,,,
planning-condition,,,,local-authority:DNC,U0108153,73000212,,,
planning-condition,,,,local-authority:DNC,U0108154,73000213,,,
planning-condition,,,,local-authority:DNC,U0108155,73000214,,,
